raw,author,content,author_action,collaborate
Samphan Raruenrom ได้แชร์โพสต์  · ======21 ชม.==============  · อาชีพที่ขาดแคลนทั่วโลก ขนาดเมืองไทยคนจ้างก็ต้องจ้าง headhunter ควานหาด้วยค่าตัวพอๆกับผู้จัดการ ก็ยังหาไม่ได้กันใครไม่พอใจค่าแรงก็ย้ายงานตอนนี้ได้สบายBlognone  · =================================================================================================เมื่อวานนี้ เวลา 19:30 น.=================  · เป็นธรรมเนียมทุกปีที่ LinkedIn เว็บไซต์หางาน จัดอันดับตำแหน่งงานที่มีความต้องการจากนายจ้างมากที่สุด ซึ่งปีนี้ตำแหน่งงานที่ได้รับความนิยม ยังหนีไม่พ้นสายงานไอที แ... ดูเพิ่มเติม809ความคิดเห็น 69 รายการแชร์ 260 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 32 ความคิดเห็นTum ChangudomIT คือทุกอย่าง ยันดักหนู1 · แชร์ · 1 ชม.Nickna Khuntongนี่มัน Lineup บริษัท Online Marketing ชัดๆ รู้เลยว่านี่ยุคขายของออนไลน์ 55 · แชร์ · 45 นาที,Samphan Raruenrom,"อาชีพที่ขาดแคลนทั่วโลก ขนาดเมืองไทยคนจ้างก็ต้องจ้าง headhunter ควานหาด้วยค่าตัวพอๆกับผู้จัดการ ก็ยังหาไม่ได้กัน
ใครไม่พอใจค่าแรงก็ย้ายงานตอนนี้ได้สบาย",Samphan Raruenrom ได้แชร์โพสต์,"809
ความคิดเห็น 69 รายการ
แชร์ 260 ครั้ง"
Bon Prasertsuwan  · 17 ชม.=====================  · ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ113ความคิดเห็น 116 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าวรากร เลิศวัฒนพงศ์วันธรรมดา 4-6 ครับ ถ้าได้หยุดก็ 10+ · แชร์ · 52 นาทีจิตรกร ปั้นเขานอนกันด้วยหรอครับ  พึ่งรู้2 · แชร์ · 14 นาที,Bon Prasertsuwan,ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ,Bon Prasertsuwan,"113
ความคิดเห็น 116 รายการ"
เจเจ โมดิฟาย  · ========2 ชม.==========  · พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????21 ความคิดเห็นถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นBaze TheCreatorไม่เคยครับ ครอบครัวสนับสนุนในสิ่งที่ผมเลือกเสมอแต่ถ้าผมเจอ สิ่งที่จะทำต่อไปก็คงเป็นการพิสูจน์ตัวเอง หาเหตุผล และผลลัพธ์ที่จับต้องและมองเห็นได้ มารองรับเส้นทางที่เราเลือก โดยเริ่มจากเป้าหมายเล็ก ๆ ก่อนก็ได้... ดูเพิ่มเติม · แชร์ · 5 นาที,เจเจ โมดิฟาย,พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????,เจเจ โมดิฟาย,"2
1 ความคิดเห็น"
Off Jaturapat  · ========1 ชม.==========  · ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)สำหรับงาน machine learning + deep learning โดยเฉพาะ.แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเองมันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม135ความคิดเห็น 5 รายการแชร์ 250 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 3 ความคิดเห็นสิริรัตน์ บำเพ็ญบุณย์ขอบคุณมากค่ะ กำลังศึกษา · แชร์ · 7 นาทีWatcharaphol Jumpathongได้ของแรร์เลยทีนี้...ขอบคุณครับ · แชร์ · 5 นาที,Off Jaturapat,"ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)
สำหรับงาน machine learning + deep learning โดยเฉพาะ
.
แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเอง
มันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม",Off Jaturapat,"135
ความคิดเห็น 5 รายการ
แชร์ 250 ครั้ง"
Nipa Chamyuang  · =2 ชม.=================  · มีใครพอจะรู้ไหมคะ ว่า SCB แก้ปัญหา SMS Phishing ยังไงบ้าง12ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นณัฐพงษ์ เชิดสุพรรณ์เค้าแก้แล้วครับ แก้จาก เบอร์ ที่ เข้ารหัส ตอนส่งไป เพิ่ม device id2 · แชร์ · 1 ชม.การตอบกลับ 2 รายการกันเนอร์ แคร็กเกอร์แก้ไม่หายครับ ล่าสุดมีโดนกันอีกแล้ว · แชร์ · 19 นาทีการตอบกลับ 1 รายการ,Nipa Chamyuang,มีใครพอจะรู้ไหมคะ ว่า SCB แก้ปัญหา SMS Phishing ยังไงบ้าง,Nipa Chamyuang,"12
ความคิดเห็น 5 รายการ"
"Abhichat Wankaew  · =2 ชม.=================  · ถามผู้รู้ flutter ครับเจอแบบนี้ไปยังไงต่อครับทำตามขั้นตอนทุกอย่าง แต่หมอยังหา flutter ไม่เจอ2ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 2 ความคิดเห็นด.ช.ธนาธิป สีมูลคำของผมใช้อยู่ก็เป็นครับ แต่ build ได้ ก็ปล่อยมันแบบนั้นแหละ · แชร์ · 1 ชม.ดั๊บเบิ้ลคลิก คอมพิวเตอร์flutter channel devflutter upgradeflutter config --android-studio-dir=""C:\Program Files\Android\Android Studio""... ดูเพิ่มเติม · แชร์ · 20 นาที",,"ถามผู้รู้ flutter ครับ
เจอแบบนี้ไปยังไงต่อครับ
ทำตามขั้นตอนทุกอย่าง แต่หมอยังหา flutter ไม่เจอ",Abhichat Wankaew,"2
ความคิดเห็น 5 รายการ"
วันมงคล พานิชกุล  · ========17 ชม.============  · สถาบันมีผลกับการรับสมัครงานของสายนี้ไหมครับ จะเรียนราชภัฏใกล้บ้านหรือไปในกรุงเทพดี155ความคิดเห็น 112 รายการแชร์ 2 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าKaran Sivaratถ้าเรื่องสมัครงานก็มีผลบ้างกับองค์กรใหญ่ ๆ ครับ แต่การเลือกที่เรียนสำหรับผมมีผลกับความรู้ ความสามารถของเราที่จะจบออกจากมหาวิทยาลัยครับ (เมื่อเก่งแล้วการหางานก็อาจจะตามมาเอง)- ที่ว่ามีผลเนี่ยไม่ได้มีกับมหาวิทยาลัยโดยตรง มหาวิทยาลัยให้แค่สิ่งอำนวยความส... ดูเพิ่มเติม1 · แชร์ · 32 นาที · แก้ไขแล้วThitipong Smrvntมีคนเคยบอกว่าแค่ ทำได้ กับทำไม่ได้ ...เรื่องอื่นๆทั้งหมดเป็นเรื่องรองๆลงมา... ดูเพิ่มเติม · แชร์ · 27 นาที · แก้ไขแล้ว,วันมงคล พานิชกุล,สถาบันมีผลกับการรับสมัครงานของสายนี้ไหมครับ จะเรียนราชภัฏใกล้บ้านหรือไปในกรุงเทพดี,วันมงคล พานิชกุล,"155
ความคิดเห็น 112 รายการ
แชร์ 2 ครั้ง"
"Rawin Ngamloet ได้แชร์ลิงก์
39 นาที
 
 · 
ฝากด้วยนะครับ ใครมีปัญหาปรึกษาเรื่อง Docker ได้ครับ
เรียน Docker 101 : มาสร้าง Dockerfile กันเถอะ #Justaprogrammingclassroom #เรียนdocker101
YOUTUBE.COM
เรียน Docker 101 : EP.3 สร้าง Dockerfile กันเถอะ
วีดีโอสอนการใช้งาน Docker สำหรับผู้รักเรียนรู้ทุกท่านครับ โดยในตอนนี้จะเน้นถึงเรื่องของการสร้าง Dockerfile สำหรับ bu...
43
ความคิดเห็น 3 รายการ
แชร์ 35 ครั้ง
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น
ดูความคิดเห็นอีก 1 รายการ
Chumrod Witsanu
แชร์ · 1 ชม.
Rawin Ngamloet
ขอบคุณครับ
หยุด GIF ชั่วคราว
GIPHY
แชร์ · 33 นาที",Rawin Ngamloet,"ฝากด้วยนะครับ ใครมีปัญหาปรึกษาเรื่อง Docker ได้ครับ
เรียน Docker 101 : มาสร้าง Dockerfile กันเถอะ #Justaprogrammingclassroom #เรียนdocker101",Rawin Ngamloet ได้แชร์ลิงก์,"43
ความคิดเห็น 3 รายการ
แชร์ 35 ครั้ง"
"Off Jaturapat ได้แชร์ลิงก์
39 นาที
 
 · 
หนังสือฟรีสายคอมอ่านกันฟรีๆ
PATANASONGSIVILAI.COM
แจกหนังสือฟรีสายคอมหลายเล่ม
ช่วงโควิด 19 หลายคนคงกำลังอยู่บ้าน workfrom home หรือกำ…
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น",Off Jaturapat,หนังสือฟรีสายคอมอ่านกันฟรีๆ,Off Jaturapat ได้แชร์ลิงก์,"ถูกใจ
แสดงความคิดเห็น
แชร์"
"กวิน สายอุบล
39 นาที
 
 · 
แอพเป๋าตังมีAPI มั้ยครับ?
ถูกใจ
แสดงความคิดเห็น
แชร์
ความคิดเห็น",กวิน สายอุบล,แอพเป๋าตังมีAPI มั้ยครับ?,กวิน สายอุบล,"ถูกใจ
แสดงความคิดเห็น
แชร์"
Bon Prasertsuwan  · 17 ชม.=====================  · ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ113ความคิดเห็น 116 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าวรากร เลิศวัฒนพงศ์วันธรรมดา 4-6 ครับ ถ้าได้หยุดก็ 10+ · แชร์ · 52 นาทีจิตรกร ปั้นเขานอนกันด้วยหรอครับ  พึ่งรู้2 · แชร์ · 14 นาที,,ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ,Bon Prasertsuwan,"113
ความคิดเห็น 116 รายการ"
Bon Prasertsuwan  · 17 ชม.=====================  · ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ113ความคิดเห็น 116 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าวรากร เลิศวัฒนพงศ์วันธรรมดา 4-6 ครับ ถ้าได้หยุดก็ 10+ · แชร์ · 53 นาทีจิตรกร ปั้นเขานอนกันด้วยหรอครับ  พึ่งรู้2 · แชร์ · 15 นาที,,ถามตรงๆ เลยละกัน พี่ ๆ ที่เป็นโปรแกรเมอร์ปกตินอนวันละกี่ชั่วโมงครับ,Bon Prasertsuwan,"113
ความคิดเห็น 116 รายการ"
เจเจ โมดิฟาย  · ========2 ชม.==========  · พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????21 ความคิดเห็นถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นBaze TheCreatorไม่เคยครับ ครอบครัวสนับสนุนในสิ่งที่ผมเลือกเสมอแต่ถ้าผมเจอ สิ่งที่จะทำต่อไปก็คงเป็นการพิสูจน์ตัวเอง หาเหตุผล และผลลัพธ์ที่จับต้องและมองเห็นได้ มารองรับเส้นทางที่เราเลือก โดยเริ่มจากเป้าหมายเล็ก ๆ ก่อนก็ได้... ดูเพิ่มเติม · แชร์ · 6 นาที,เจเจ โมดิฟาย,พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????พี่ๆคนไหนมีปัญหาครอบครัวเพราะ..เขียนโค๊ตหรือป่าวครับ????????,เจเจ โมดิฟาย,"2
1 ความคิดเห็น"
Off Jaturapat  · ========1 ชม.==========  · ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)สำหรับงาน machine learning + deep learning โดยเฉพาะ.แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเองมันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม135ความคิดเห็น 5 รายการแชร์ 250 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 3 ความคิดเห็นสิริรัตน์ บำเพ็ญบุณย์ขอบคุณมากค่ะ กำลังศึกษา · แชร์ · 8 นาทีWatcharaphol Jumpathongได้ของแรร์เลยทีนี้...ขอบคุณครับ · แชร์ · 6 นาที,Off Jaturapat,"ตัวอย่างโค้ด AI (ปัญญาประดิษฐ์)
สำหรับงาน machine learning + deep learning โดยเฉพาะ
.
แต่เนื่องจากการเซทอัพโปรเจคในเครื่องตัวเอง
มันแสนยุ่งยาก เวอร์ชั่นไลบรารี่เปลี่ยนทีชีวิตเปลี่ยน... ดูเพิ่มเติม",Off Jaturapat,"135
ความคิดเห็น 5 รายการ
แชร์ 250 ครั้ง"
Nipa Chamyuang  · =2 ชม.=================  · มีใครพอจะรู้ไหมคะ ว่า SCB แก้ปัญหา SMS Phishing ยังไงบ้าง12ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นณัฐพงษ์ เชิดสุพรรณ์เค้าแก้แล้วครับ แก้จาก เบอร์ ที่ เข้ารหัส ตอนส่งไป เพิ่ม device id2 · แชร์ · 1 ชม.การตอบกลับ 2 รายการกันเนอร์ แคร็กเกอร์แก้ไม่หายครับ ล่าสุดมีโดนกันอีกแล้ว · แชร์ · 20 นาทีการตอบกลับ 1 รายการ,Nipa Chamyuang,มีใครพอจะรู้ไหมคะ ว่า SCB แก้ปัญหา SMS Phishing ยังไงบ้าง,Nipa Chamyuang,"12
ความคิดเห็น 5 รายการ"
"Abhichat Wankaew  · =2 ชม.=================  · ถามผู้รู้ flutter ครับเจอแบบนี้ไปยังไงต่อครับทำตามขั้นตอนทุกอย่าง แต่หมอยังหา flutter ไม่เจอ2ความคิดเห็น 5 รายการถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูอีก 2 ความคิดเห็นด.ช.ธนาธิป สีมูลคำของผมใช้อยู่ก็เป็นครับ แต่ build ได้ ก็ปล่อยมันแบบนั้นแหละ · แชร์ · 1 ชม.ดั๊บเบิ้ลคลิก คอมพิวเตอร์flutter channel devflutter upgradeflutter config --android-studio-dir=""C:\Program Files\Android\Android Studio""... ดูเพิ่มเติม · แชร์ · 21 นาที",,"ถามผู้รู้ flutter ครับ
เจอแบบนี้ไปยังไงต่อครับ
ทำตามขั้นตอนทุกอย่าง แต่หมอยังหา flutter ไม่เจอ",Abhichat Wankaew,"2
ความคิดเห็น 5 รายการ"
วันมงคล พานิชกุล  · ========17 ชม.============  · สถาบันมีผลกับการรับสมัครงานของสายนี้ไหมครับ จะเรียนราชภัฏใกล้บ้านหรือไปในกรุงเทพดี155ความคิดเห็น 112 รายการแชร์ 2 ครั้งถูกใจแสดงความคิดเห็นแชร์ความคิดเห็นดูความคิดเห็นก่อนหน้าKaran Sivaratถ้าเรื่องสมัครงานก็มีผลบ้างกับองค์กรใหญ่ ๆ ครับ แต่การเลือกที่เรียนสำหรับผมมีผลกับความรู้ ความสามารถของเราที่จะจบออกจากมหาวิทยาลัยครับ (เมื่อเก่งแล้วการหางานก็อาจจะตามมาเอง)- ที่ว่ามีผลเนี่ยไม่ได้มีกับมหาวิทยาลัยโดยตรง มหาวิทยาลัยให้แค่สิ่งอำนวยความส... ดูเพิ่มเติม1 · แชร์ · 33 นาที · แก้ไขแล้วThitipong Smrvntมีคนเคยบอกว่าแค่ ทำได้ กับทำไม่ได้ ...เรื่องอื่นๆทั้งหมดเป็นเรื่องรองๆลงมา... ดูเพิ่มเติม · แชร์ · 28 นาที · แก้ไขแล้ว,วันมงคล พานิชกุล,สถาบันมีผลกับการรับสมัครงานของสายนี้ไหมครับ จะเรียนราชภัฏใกล้บ้านหรือไปในกรุงเทพดี,วันมงคล พานิชกุล,"155
ความคิดเห็น 112 รายการ
แชร์ 2 ครั้ง"
